fichier,page_pdf,section,objet,quantite,um,feuille_zone
relevé final Daniel.pdf,1,SOMMAIRE,Matériel coûtant ($),184933.73,$,global (aucune feuille/zone indiquée)
relevé final Daniel.pdf,1,SOMMAIRE,Service coûtant ($),126720.00,$,global (aucune feuille/zone indiquée)
relevé final Daniel.pdf,1,SOMMAIRE,Grand total ($),311653.75,$,global (aucune feuille/zone indiquée)
relevé final Daniel.pdf,1,SOMMAIRE,Heures chargées,1280.000,h,global (aucune feuille/zone indiquée)
relevé final Daniel.pdf,1,SOMMAIRE,Heures du relevé de matériel,1272.600,h,global (aucune feuille/zone indiquée)
relevé final Daniel.pdf,1,SOMMAIRE,Balance,-7.400,h,global (aucune feuille/zone indiquée)
relevé final Daniel.pdf,1,SOMMAIRE,Annotation manuscrite « $ 99.00 » / « TEMPORAIRE = »,—,note,global (aucune feuille/zone indiquée)
relevé final Daniel.pdf,2,DISTRIBUTION,PRIX DE LOT DISTRIBUTION,1,U,global (aucune feuille/zone indiquée)
relevé final Daniel.pdf,2,DISTRIBUTION,PRIX DE LOT TRANSFO,1,U,global (aucune feuille/zone indiquée)
relevé final Daniel.pdf,2,DISTRIBUTION,PRIX DE LOT D/M,1,U,global (aucune feuille/zone indiquée)
relevé final Daniel.pdf,2,DISTRIBUTION,PRIX DE LOT ÉTUDE,1,U,global (aucune feuille/zone indiquée)
relevé final Daniel.pdf,2,DISTRIBUTION,SECTIONNEUR 400A 347/600C 6PH 4F F,1,U,global (aucune feuille/zone indiquée)
relevé final Daniel.pdf,2,DISTRIBUTION,PANN PS 400A 347/600V 66CCT DISJ 400A 3P C/A LOCK,1,U,global (aucune feuille/zone indiquée)
relevé final Daniel.pdf,2,DISTRIBUTION,22KA 1X90A3P 1X80A3P 2X50A3P 8X15A3P 4X30A1P,0,U,global (aucune feuille/zone indiquée)
relevé final Daniel.pdf,2,DISTRIBUTION,1X30A1P GF 2X20A1P,0,U,global (aucune feuille/zone indiquée)
relevé final Daniel.pdf,2,DISTRIBUTION,PANN PSS1 200A 120/208V 3PH4F 66CCT 10KA C/A,1,U,global (aucune feuille/zone indiquée)
relevé final Daniel.pdf,2,DISTRIBUTION,1X30A2P 2X20A1P GF 1X25A1P 10X20A1P 24X15A1P 2X15A2F,0,U,global (aucune feuille/zone indiquée)
relevé final Daniel.pdf,2,DISTRIBUTION,PANN PSS2 600A 120X208V 3PH 4F 66CCT 22KA C/A,1,U,global (aucune feuille/zone indiquée)
